employee_id,job_level,job_function,region,age,is_promo,is_men,perf_rank,tenure
205,T7,S&O,US2,31.2,0,0,3,2.1
207,I4,Engineering,US3,30.2,0,0,4,2.6
209,I4,CXI,US2,32.4,0,1,3,2.0
211,I7,CXI,US4,32.1,0,0,3,2.1
214,I4,Engineering,US2,32.9,0,1,5,1.8
215,I4,G&A,US2,34.5,0,0,5,2.6
217,I5,Product,US2,28.8,0,1,3,1.4
219,I6,Engineering,US1,34.8,0,1,4,2.6
220,T6,S&O,US2,28.9,0,1,3,2.1
227,T6,Product,US4,27.3,0,1,3,2.0
229,T7,G&A,US1,34.0,0,1,5,3.5
230,I6,G&A,US2,31.1,0,1,3,1.8
231,T7,Engineering,US2,32.9,0,1,3,4.6
233,T6,CXI,US1,33.1,0,0,3,2.1
234,T7,Product,US1,29.4,1,1,3,2.0
237,T8,G&A,US2,30.2,0,1,4,1.7
238,I5,G&A,US1,28.0,0,1,3,1.1
239,I7,CXI,US4,34.9,0,0,3,2.0
242,I6,Engineering,US1,29.6,0,1,3,1.6
243,I4,S&O,US1,34.2,0,1,3,2.1
244,I6,Product,US2,27.9,0,1,4,1.4
245,T8,Engineering,US3,33.3,0,1,4,2.5
246,T6,Engineering,US1,29.3,1,1,4,2.5
249,T8,S&O,US4,29.9,0,1,3,2.1
250,I7,G&A,US4,34.6,0,0,3,1.2
251,T6,S&O,US1,27.6,0,1,4,3.5
252,T7,Engineering,US1,31.5,0,1,4,1.1
253,I4,Product,US4,32.5,0,1,3,1.7
254,I4,Product,US2,30.5,1,1,3,3.6
255,T7,S&O,US2,31.0,0,1,4,1.0
257,I6,Engineering,US1,30.2,0,1,3,1.8
262,T7,S&O,US1,30.0,0,1,3,2.1
270,I5,Engineering,US1,32.0,0,0,3,2.0
272,T8,Product,US3,28.5,0,1,3,2.6
273,T6,Engineering,US1,30.3,0,1,4,2.6
275,I4,S&O,US3,28.3,1,0,5,2.5
276,I6,Engineering,US1,31.1,0,1,3,2.6
278,I5,S&O,US1,29.8,0,1,5,1.6
282,T7,Product,US1,33.1,0,0,5,1.6
284,I4,CXI,US3,30.5,0,0,3,2.1
285,I4,Sales,US2,33.6,0,1,3,2.1
286,I4,Engineering,US3,28.0,0,1,3,1.6
288,I4,S&O,US4,31.8,0,0,3,1.2
289,I4,CXI,US1,28.6,0,0,3,2.5
291,I4,CXI,US1,34.3,0,0,3,4.5
293,I4,S&O,US4,32.8,0,0,3,1.3
295,I6,G&A,US2,29.9,0,0,3,2.1
297,T6,CXI,US2,34.2,1,0,3,4.6
298,T6,CXI,US2,28.5,0,0,3,4.6
299,T6,CXI,US3,31.3,1,0,5,3.6
300,T7,Engineering,US2,30.5,0,1,3,2.1
301,T6,S&O,US1,32.5,0,1,3,1.4
304,T6,CXI,US3,31.3,0,0,3,2.1
306,T7,Sales,US1,30.3,0,1,3,2.1
307,I4,CXI,US1,34.8,1,0,3,2.0
309,T6,Engineering,US3,33.5,0,1,3,2.6
310,I6,S&O,US3,27.5,1,0,4,2.0
314,I6,Engineering,US3,34.6,0,1,3,2.1
315,T6,Engineering,US1,29.0,0,1,4,2.5
316,T7,Engineering,US1,30.4,0,1,3,4.5
317,I4,Engineering,US2,27.8,0,1,3,2.0
318,I7,S&O,US2,33.0,0,0,3,2.1
319,I5,CXI,US3,27.1,0,0,3,2.6
321,I4,Sales,US1,29.5,0,0,3,2.0
322,I4,S&O,US3,28.4,0,0,4,1.3
326,I4,G&A,US2,29.5,0,1,3,2.1
327,I4,Sales,US1,31.9,0,0,3,2.1
330,I4,Engineering,US1,33.8,0,1,3,2.1
331,T7,Engineering,US3,33.2,0,1,3,1.6
334,I6,G&A,US3,33.2,0,0,4,2.6
335,T7,Engineering,US1,27.2,0,1,4,3.6
337,I5,S&O,US2,29.9,0,0,4,1.9
338,I5,CXI,US4,31.8,0,0,4,3.5
339,I4,Sales,US1,29.6,0,0,3,1.8
343,T6,Sales,US4,30.6,0,0,4,2.6
345,T7,Engineering,US2,28.9,0,1,5,3.6
346,I5,Engineering,US1,31.0,0,1,3,2.1
352,I6,CXI,US1,33.1,0,1,3,2.0
355,T9,G&A,US1,29.3,1,0,5,2.6
357,I4,G&A,US1,28.6,0,0,3,2.6
360,I4,Engineering,US1,33.2,0,0,3,1.1
361,T6,CXI,US3,30.1,0,0,3,2.0
366,I4,CXI,US1,32.1,0,0,3,2.6
370,T9,G&A,US2,31.6,0,0,3,2.1
372,I7,G&A,US2,34.7,0,0,3,2.1
373,I4,Product,US1,30.7,0,0,3,1.2
377,T8,CXI,US3,33.4,0,1,3,4.6
378,T7,CXI,US2,31.3,0,1,4,2.0
380,T7,Product,US2,34.1,0,1,4,2.1
383,T8,G&A,US2,27.4,0,1,3,2.0
384,T6,Engineering,US2,34.4,0,0,3,2.6
385,I5,G&A,US1,31.8,0,0,4,1.6
386,I4,S&O,US2,28.1,0,1,4,2.5
387,I4,Sales,US2,27.9,0,0,3,1.7
390,I6,CXI,US1,28.8,0,1,4,2.6
391,T6,CXI,US1,28.4,0,0,3,2.1
392,I4,S&O,US3,27.7,0,1,3,2.1
397,I6,G&A,US3,27.2,0,0,4,1.4
398,I5,Product,US3,28.2,0,0,3,1.0
403,I7,G&A,US1,28.1,0,0,4,4.5
404,I5,Engineering,US1,27.7,0,0,4,2.5
406,I5,Engineering,US4,34.7,0,1,3,2.1
407,I4,CXI,US2,29.5,0,0,3,3.6
409,I5,Product,US4,31.0,0,0,3,3.6
411,I4,S&O,US2,27.1,1,1,3,2.6
412,T8,Engineering,US4,30.5,1,1,3,2.1
413,T6,G&A,US3,29.2,0,1,3,2.5
414,I7,Engineering,US1,33.0,0,1,5,1.7
415,T7,CXI,US3,32.4,0,0,3,1.1
416,I7,S&O,US2,30.3,0,0,4,1.0
417,I7,CXI,US2,30.3,0,0,3,1.9
418,I6,Engineering,US2,32.0,0,1,3,2.0
420,T6,Product,US2,28.7,0,1,3,4.6
422,I5,CXI,US3,32.5,0,0,4,2.6
423,I4,CXI,US2,33.5,0,0,3,2.0
426,I4,Sales,US4,33.2,0,0,3,2.0
430,I7,CXI,US2,32.3,0,0,5,2.5
431,I4,G&A,US3,30.0,0,0,3,3.6
433,I7,CXI,US3,27.2,0,0,3,4.6
438,I4,Product,US1,31.6,0,0,4,2.6
439,I5,G&A,US1,31.0,1,0,3,2.5
441,I7,Engineering,US1,28.4,0,1,5,4.6
442,I4,G&A,US1,29.2,0,1,3,2.1
443,I7,CXI,US2,31.2,0,0,3,2.1
444,T6,Engineering,US2,34.2,0,1,3,4.6
447,I7,Product,US1,32.6,0,1,3,2.6
448,I7,Engineering,US2,30.0,0,1,4,2.5
449,I7,Engineering,US1,30.4,0,1,3,2.1
451,I4,CXI,US1,34.4,0,0,4,2.5
453,T6,Product,US1,29.6,0,1,5,3.5
456,T7,CXI,US3,31.9,1,1,3,2.0
457,T7,Engineering,US3,29.7,0,1,5,2.6
458,T7,CXI,US1,33.4,0,0,3,2.6
459,I5,G&A,US1,30.5,0,0,5,1.2
460,I5,Product,US3,27.4,1,0,3,4.6
461,I5,Engineering,US2,29.0,0,0,3,2.1
462,I5,Engineering,US1,30.1,0,1,3,1.7
464,I7,Sales,US4,30.2,0,1,3,2.0
469,T7,Engineering,US3,31.8,0,1,4,1.2
471,T6,Engineering,US1,32.1,0,1,3,1.0
474,I4,Engineering,US4,33.5,0,1,4,2.6
477,I4,Product,US1,29.2,0,1,3,2.0
478,I6,CXI,US1,29.0,0,0,3,1.5
485,T6,Sales,US1,31.3,0,0,3,4.5
486,I6,Sales,US1,27.7,0,1,3,2.6
487,I7,Product,US3,33.2,0,0,3,2.1
489,I6,Engineering,US1,32.1,0,1,3,1.5
490,I6,Engineering,US1,27.2,0,1,4,1.1
493,I6,Product,US3,27.6,0,1,4,1.6
494,I4,Engineering,US4,31.1,0,0,5,3.5
495,T8,G&A,US1,31.0,0,0,3,1.1
498,T9,G&A,US1,27.3,0,0,3,4.6
500,I4,S&O,US3,31.3,0,0,4,1.1
501,I6,CXI,US1,34.1,0,0,4,1.4
502,T7,Engineering,US2,33.5,0,1,4,1.6
507,I6,Engineering,US1,30.4,0,1,4,2.5
510,I4,S&O,US3,34.4,0,0,3,2.1
512,T8,S&O,US2,32.2,1,1,3,2.0
513,I4,CXI,US4,29.5,0,0,3,2.1
514,I4,S&O,US1,34.1,0,0,3,2.5
515,I5,CXI,US2,28.0,0,1,3,4.5
516,I5,Sales,US1,33.3,0,1,4,2.6
519,I4,Engineering,US2,34.5,0,1,5,3.6
521,T8,Engineering,US2,32.3,0,1,3,2.1
523,T8,Product,US1,29.9,0,1,3,2.5
524,I6,G&A,US1,31.1,0,0,5,2.6
525,I4,S&O,US2,29.1,0,0,3,2.6
527,T6,G&A,US4,29.8,0,1,4,3.5
528,I5,S&O,US3,29.7,0,0,3,1.7
529,T6,Product,US3,28.0,0,1,4,2.1
532,I4,CXI,US1,32.8,0,0,3,4.6
537,I6,S&O,US1,30.9,0,0,5,2.5
538,T8,Engineering,US4,28.0,0,1,3,2.1
539,I5,Engineering,US1,29.0,0,0,4,4.5
540,T6,G&A,US1,30.8,0,1,3,2.1
542,I5,Engineering,US3,27.4,0,1,3,3.5
545,I4,Product,US1,27.3,0,1,3,3.6
548,I5,Sales,US2,30.0,0,1,5,2.6
549,I5,G&A,US3,34.1,0,0,3,3.5
550,I6,CXI,US3,33.0,0,0,4,2.5
551,T7,Engineering,US2,33.4,0,1,5,3.5
553,I6,Product,US3,35.0,0,1,5,4.6
557,I5,Engineering,US3,28.1,0,1,3,1.7
560,T9,CXI,US3,30.7,0,0,4,1.2
562,I5,Engineering,US2,29.9,0,1,4,2.6
563,I6,Sales,US1,31.8,0,0,3,2.1
564,I4,CXI,US3,32.7,0,0,3,2.1
565,I6,Product,US3,28.2,0,0,4,3.6
568,I4,Engineering,US4,30.1,0,1,5,2.6
569,I6,CXI,US1,27.4,0,0,3,2.5
570,I6,CXI,US2,28.0,0,0,4,2.6
571,T6,Product,US3,31.2,0,1,4,1.7
573,T6,Engineering,US1,27.5,0,1,5,1.5
576,I5,Engineering,US4,32.6,1,1,3,2.6
580,I5,CXI,US2,34.8,0,0,4,2.5
581,I5,Engineering,US3,31.2,0,1,4,2.1
582,I4,CXI,US2,30.9,0,1,4,1.5
584,I7,Sales,US3,29.8,0,1,3,2.6
585,T6,S&O,US3,33.1,0,0,4,3.5
586,I4,G&A,US3,27.3,0,0,5,1.0
587,I5,S&O,US1,27.8,1,1,3,2.6
588,I6,CXI,US1,32.5,0,1,3,3.5
589,I7,G&A,US3,30.1,0,0,3,2.0
590,I7,Engineering,US4,31.9,0,0,3,2.5
592,T6,Engineering,US2,30.6,0,1,3,2.0
595,I4,Engineering,US1,29.9,0,1,5,1.5
596,T8,G&A,US1,34.4,0,0,4,1.1
598,I5,Sales,US1,31.4,0,0,4,3.6
599,T6,CXI,US1,30.5,0,0,3,2.1
600,I4,G&A,US3,31.5,0,0,3,2.5
601,I6,Product,US2,30.0,0,0,3,2.6
604,I5,G&A,US3,34.7,0,0,3,2.6
605,I5,S&O,US1,29.7,0,1,5,1.5
608,T8,Product,US2,33.2,1,1,4,2.5
609,T6,CXI,US3,29.5,0,0,3,4.5
612,I5,Sales,US1,30.4,0,0,5,2.5
613,I4,CXI,US1,27.0,0,1,3,4.5
616,I5,G&A,US1,29.5,0,0,4,4.5
617,I4,S&O,US2,29.8,0,0,4,1.2
618,T8,Engineering,US3,29.1,0,1,3,2.1
621,I4,G&A,US1,32.3,0,0,5,4.6
623,T6,Product,US3,32.2,0,1,3,4.6
624,T9,Engineering,US2,30.2,0,1,4,4.5
626,I5,CXI,US2,33.6,0,0,3,3.5
628,I4,Engineering,US1,27.8,0,0,3,1.4
630,I4,Engineering,US2,30.3,0,1,4,1.6
631,T7,Sales,US1,31.0,0,1,3,2.1
635,I4,Engineering,US4,34.9,0,1,3,3.5
638,I7,Product,US3,27.1,0,1,5,1.2
639,T8,Sales,US3,31.8,0,1,3,2.6
647,I5,Product,US2,31.1,0,1,5,1.9
649,I4,CXI,US3,28.3,0,0,3,1.3
650,T8,Engineering,US3,27.6,0,1,3,1.7
653,I4,Engineering,US1,34.8,0,1,4,3.5
654,T6,Product,US1,31.7,0,0,3,2.6
658,T8,G&A,US3,27.3,0,0,3,2.1
659,I4,CXI,US1,33.9,0,1,3,2.1
660,I5,CXI,US1,29.8,1,0,3,2.5
661,I4,Product,US2,30.6,0,1,5,2.6
664,I5,Sales,US1,31.6,0,1,4,2.6
665,T6,G&A,US1,34.1,0,0,4,1.5
669,T8,Engineering,US3,30.6,1,0,4,2.6
672,I4,CXI,US1,31.5,0,0,3,4.5
676,I5,Product,US4,27.6,0,1,3,2.5
677,I4,Engineering,US3,32.7,0,1,4,2.6
678,I4,Engineering,US2,31.4,0,1,5,4.5
679,I4,S&O,US1,28.0,0,0,5,4.6
682,T8,CXI,US1,32.0,0,0,3,1.2
684,I7,Engineering,US1,28.9,0,1,3,2.1
687,I4,Engineering,US1,30.0,0,1,3,2.5
688,T8,G&A,US1,34.7,0,1,5,2.5
689,I4,S&O,US1,32.6,0,0,3,2.1
690,T7,Engineering,US1,33.5,0,1,3,2.5
691,I4,Sales,US1,28.5,1,0,5,2.1
692,T7,Sales,US1,32.1,0,1,3,2.6
694,I6,Engineering,US1,31.3,0,1,4,2.5
695,I4,CXI,US2,28.2,0,0,4,1.7
697,T6,Engineering,US1,31.0,0,1,4,2.6
698,T6,Engineering,US1,27.9,0,0,4,2.0
699,I5,G&A,US2,28.0,0,0,3,2.1
701,T7,Sales,US2,30.7,0,1,4,3.6
704,I4,Engineering,US2,32.9,0,1,3,2.0
706,I4,Product,US1,31.1,0,1,5,3.5
707,T7,Sales,US1,31.5,0,1,3,2.1
708,I6,Engineering,US3,34.9,0,1,5,1.9
709,I4,Sales,US1,34.9,0,1,3,1.5
710,I5,Engineering,US2,33.4,0,1,3,3.5
711,I7,Engineering,US4,30.4,0,1,3,2.0
713,T6,Product,US3,27.9,0,0,3,2.1
715,T7,Product,US4,30.9,0,0,4,1.6
716,T9,Sales,US1,28.2,0,1,3,2.1
717,I7,CXI,US1,28.1,0,0,4,2.6
722,I5,Engineering,US1,28.0,0,1,4,1.9
723,I6,S&O,US1,30.5,0,0,5,2.6
724,I7,Engineering,US1,32.9,0,0,3,4.6
727,I7,S&O,US1,34.0,0,1,3,2.5
729,I4,G&A,US2,30.3,0,0,4,2.6
730,I6,G&A,US1,28.0,0,0,3,2.0
731,I5,Sales,US4,33.7,0,1,3,1.1
732,I4,Engineering,US1,33.5,0,1,4,2.1
733,I6,CXI,US1,30.9,0,0,5,1.1
735,T6,S&O,US1,30.1,0,1,3,1.4
736,T7,Product,US1,29.0,0,1,3,2.1
737,I5,Product,US2,27.9,0,0,3,2.1
739,T7,S&O,US2,33.0,0,1,3,2.6
742,T7,Engineering,US1,31.9,0,1,5,2.5
743,T7,Engineering,US4,30.5,0,1,4,1.8
744,T6,Engineering,US1,28.1,1,1,5,2.6
747,I4,S&O,US3,32.9,0,1,3,2.5
749,I7,S&O,US3,27.5,0,1,3,2.0
752,I4,Product,US3,30.3,0,0,3,4.6
753,I6,Product,US3,27.1,0,1,3,2.5
754,I5,Engineering,US1,32.8,0,1,5,1.0
757,I7,Product,US2,33.1,0,0,3,2.0
758,T7,S&O,US2,34.2,0,1,3,2.6
761,T6,S&O,US1,34.7,1,0,4,2.5
763,T8,S&O,US1,32.0,0,1,5,2.6
766,T7,CXI,US2,33.2,0,0,3,2.0
770,I6,Engineering,US4,32.9,0,1,4,2.5
771,I5,S&O,US4,29.4,0,0,3,2.6
772,I5,Sales,US4,30.2,0,1,4,2.5
779,I4,S&O,US3,28.7,0,0,3,1.5
782,T6,CXI,US1,33.7,0,0,4,3.6
783,I6,CXI,US1,34.4,0,0,4,1.2
785,I5,Sales,US2,32.4,0,0,4,1.7
786,I5,Engineering,US3,33.7,0,1,3,2.1
787,T6,Engineering,US1,28.1,0,1,4,1.7
789,I5,CXI,US1,30.5,0,0,3,2.1
791,I6,S&O,US2,27.5,0,0,3,2.1
793,T6,Engineering,US2,28.0,1,1,4,2.6
795,T6,Sales,US1,33.8,0,1,4,2.6
796,I6,S&O,US1,32.3,0,0,3,2.1
799,T8,Engineering,US1,30.9,0,1,4,4.6
800,T9,Engineering,US4,31.2,0,1,4,2.0
801,I5,Product,US2,29.4,0,0,5,2.6
802,I7,Engineering,US1,27.0,0,1,3,3.6
806,T7,S&O,US1,33.5,0,0,4,1.8
807,I4,S&O,US1,32.7,0,1,3,2.1
811,I4,Engineering,US3,31.3,0,1,3,1.2
812,T7,Sales,US2,31.6,0,1,5,1.6
813,I5,Sales,US1,30.3,1,0,3,2.6
814,T9,Engineering,US2,32.1,0,1,4,2.5
815,T6,Product,US2,31.3,0,1,3,2.1
816,T6,S&O,US1,33.1,0,1,4,2.5
818,I4,S&O,US3,28.2,0,1,3,2.6
819,I4,S&O,US1,27.9,0,0,4,1.6
822,T7,S&O,US4,33.3,0,1,3,4.5
823,T6,Sales,US1,27.6,0,1,3,4.6
825,T7,CXI,US2,28.1,0,0,5,3.5
827,T6,Engineering,US3,31.3,0,0,4,2.6
828,I4,CXI,US2,27.3,0,1,4,1.7
829,T8,S&O,US3,31.1,0,0,3,2.1
832,T8,S&O,US1,27.5,0,0,3,2.6
834,T8,Engineering,US1,27.1,0,1,3,2.0
837,I4,Sales,US3,33.3,0,1,4,2.5
840,I4,CXI,US3,35.0,0,0,5,1.9
841,T6,Sales,US1,27.7,0,1,3,4.5
842,T7,Sales,US2,34.7,0,1,3,1.5
843,T8,S&O,US4,31.5,0,0,3,2.1
848,I5,Sales,US3,34.9,0,1,4,4.5
849,T8,CXI,US1,27.7,0,0,3,1.5
854,I5,Product,US1,30.2,0,1,5,2.6
856,T8,G&A,US1,27.6,1,0,3,2.5
857,I4,CXI,US1,34.6,0,0,3,2.0
859,I6,CXI,US1,30.6,0,0,5,1.6
860,T8,CXI,US1,28.9,0,0,5,1.7
861,I5,G&A,US3,32.2,0,0,5,1.1
862,I4,Product,US3,30.8,0,0,3,2.6
865,T8,S&O,US2,30.1,0,0,3,2.1
866,I4,Product,US1,31.0,0,0,5,2.5
867,I5,Engineering,US1,33.4,0,1,5,2.5
870,I5,Engineering,US2,29.5,0,1,4,3.6
875,T8,Product,US1,28.3,0,1,3,3.6
878,I7,Engineering,US1,28.0,0,1,3,2.1
879,T8,Sales,US4,34.4,0,1,3,4.6
881,I5,S&O,US3,27.3,0,1,3,2.6
882,I7,CXI,US4,32.9,0,0,3,1.3
883,I4,CXI,US2,32.2,0,0,4,1.3
885,T6,Engineering,US2,31.9,0,1,5,1.7
889,T7,S&O,US3,32.4,0,0,3,1.5
893,T8,Engineering,US2,33.3,0,1,4,2.5
894,T7,S&O,US3,29.2,0,0,3,2.6
895,I6,Engineering,US1,31.4,0,1,3,2.6
896,I7,S&O,US3,34.9,0,1,3,2.5
899,I5,Engineering,US1,34.2,0,1,4,3.6
902,T8,Sales,US2,32.1,0,1,5,3.6
904,I5,Sales,US1,34.0,0,1,5,2.6
905,T8,G&A,US4,34.7,0,1,5,2.5
907,T6,Product,US4,31.4,0,1,3,1.5
908,I6,CXI,US1,32.7,0,0,4,1.1
909,I7,CXI,US3,34.6,0,0,5,1.7
911,I4,CXI,US1,33.5,1,0,3,2.1
912,T6,Engineering,US3,31.8,0,1,4,2.6
913,T8,G&A,US3,28.5,0,0,3,2.1
915,I4,G&A,US1,31.7,0,0,4,2.5
916,T7,Engineering,US3,34.1,0,1,4,3.6
918,I7,S&O,US3,29.9,0,1,5,1.8
919,I6,Product,US1,32.4,0,0,3,2.5
920,I5,Engineering,US1,28.1,0,1,5,2.6
925,I5,CXI,US2,28.4,0,0,3,2.1
928,T8,CXI,US1,32.9,0,0,4,2.6
929,T6,Sales,US1,30.9,0,1,3,2.6
931,T8,Product,US1,32.8,0,1,3,2.5
933,I4,Product,US1,31.6,0,0,4,3.6
934,T7,S&O,US1,30.1,0,0,5,2.6
938,I5,Engineering,US3,34.3,0,1,4,2.1
940,T8,CXI,US2,28.5,0,0,3,2.1
942,I7,Engineering,US3,33.6,0,1,4,1.1
943,I4,G&A,US3,30.2,1,1,4,3.6
944,I4,Engineering,US1,34.8,0,1,4,2.5
948,T6,Product,US1,29.1,0,1,3,3.5
953,I7,Product,US3,27.7,0,1,5,2.5
955,I4,Engineering,US2,34.5,0,1,5,1.5
957,I6,S&O,US3,31.7,0,1,3,2.1
960,T6,Engineering,US2,27.4,0,1,3,1.3
962,T8,S&O,US1,33.9,0,0,5,2.6
963,T6,CXI,US2,33.3,0,1,4,1.5
965,T8,Engineering,US1,28.7,0,1,4,2.6
966,I4,CXI,US2,29.0,0,0,3,2.0
968,I4,CXI,US3,31.7,0,0,4,2.6
969,I4,G&A,US1,33.3,0,1,4,2.5
970,T7,Engineering,US2,32.0,0,1,5,3.6
971,T8,G&A,US1,33.6,0,0,3,2.1
972,T6,Engineering,US2,27.3,1,0,4,3.5
974,I7,CXI,US3,34.2,0,0,3,1.1
977,I6,Engineering,US3,30.8,0,1,4,2.5
978,T6,Engineering,US4,34.1,0,1,4,1.1
979,I4,S&O,US1,29.8,0,0,3,2.0
982,I5,G&A,US1,33.6,0,0,4,3.5
983,I4,Engineering,US3,33.9,0,1,3,4.5
985,I6,S&O,US4,31.6,1,0,5,2.6
986,T7,Engineering,US2,30.5,0,1,4,1.2
987,I6,S&O,US2,34.6,0,1,4,3.6
989,T8,Engineering,US1,28.6,1,1,3,4.6
990,I4,G&A,US1,30.7,0,0,3,1.7
991,T6,CXI,US4,33.4,0,0,4,1.6
992,I4,Sales,US3,32.1,0,0,3,2.1
993,T6,Engineering,US3,28.3,0,1,4,2.5
994,I5,Sales,US1,30.0,0,0,3,2.0
996,I7,Product,US1,27.6,0,1,3,1.8
999,T8,Sales,US2,30.6,0,0,3,2.1
1003,I5,Engineering,US1,29.0,0,1,3,2.0
1004,I5,CXI,US4,31.4,0,0,3,2.6
1005,I4,CXI,US1,28.2,0,0,3,1.7
1007,T9,Engineering,US1,27.9,0,1,3,4.6
1009,I7,Sales,US3,33.7,0,0,3,2.1
1010,I5,Engineering,US3,32.6,0,1,3,2.1
1013,I6,S&O,US1,31.2,0,1,3,2.5
1015,I4,CXI,US1,28.2,0,0,3,2.1
1020,I6,CXI,US1,33.1,0,0,3,1.9
1021,T6,Engineering,US1,29.9,0,1,4,2.1
1023,T7,Sales,US1,33.4,0,0,4,1.0
1024,I4,Sales,US3,29.9,0,1,3,4.5
1025,T6,Engineering,US2,28.7,0,1,3,1.4
1027,T6,G&A,US3,33.7,0,0,3,2.6
