employee_id,job_level,job_function,region,age,is_promo,job_role,job_rank,is_men,perf_rank,tenure
141,I4,G&A,US4,31.5,1,I,4,0,3,3.1
142,I7,Engineering,US1,31.4,0,I,7,1,4,3.0
146,I4,CXI,US2,31.2,0,I,4,0,4,2.1
149,I6,G&A,US1,31.4,0,I,6,0,3,1.4
150,I4,Sales,US3,28.4,0,I,4,1,3,1.6
151,I6,Sales,US1,28.6,0,I,6,1,3,2.0
152,T7,Engineering,US4,30.8,0,T,7,1,3,1.5
153,I6,CXI,US4,30.3,0,I,6,0,4,1.0
156,I5,Sales,US4,32.0,0,I,5,1,4,4.0
158,T7,S&O,US4,27.8,0,T,7,1,4,1.4
161,I6,Product,US2,34.9,0,I,6,1,4,2.1
162,I6,G&A,US2,31.3,0,I,6,0,3,1.6
167,I5,Engineering,US4,33.8,0,I,5,1,4,2.0
172,T6,CXI,US3,32.3,0,T,6,0,4,3.1
173,I7,Product,US2,31.5,0,I,7,1,4,1.2
176,I4,CXI,US1,31.4,0,I,4,0,3,1.5
177,I4,Engineering,US3,33.3,0,I,4,1,3,2.0
178,T7,Product,US3,30.9,0,T,7,1,3,1.0
181,T6,S&O,US1,32.7,0,T,6,1,4,2.1
182,I4,CXI,US3,33.2,0,I,4,0,4,2.1
186,I5,Sales,US2,28.3,0,I,5,0,3,2.1
188,I4,G&A,US1,30.3,0,I,4,0,4,2.0
192,I5,G&A,US1,31.5,0,I,5,1,3,1.6
194,I4,Engineering,US3,35.0,0,I,4,1,4,2.1
195,T9,Engineering,US3,32.7,0,T,9,1,4,2.1
201,I6,S&O,US1,31.8,0,I,6,0,4,2.1
203,I5,Product,US4,29.3,0,I,5,0,4,2.0
204,I4,Engineering,US3,33.0,1,I,4,1,3,2.0
205,T7,S&O,US2,31.2,0,T,7,0,3,1.5
207,I4,Engineering,US3,30.2,0,I,4,0,4,2.1
209,I4,CXI,US2,32.4,0,I,4,1,3,1.5
211,I7,CXI,US4,32.1,0,I,7,0,3,1.6
214,I4,Engineering,US2,32.9,0,I,4,1,5,1.3
215,I4,G&A,US2,34.5,0,I,4,0,5,2.1
219,I6,Engineering,US1,34.8,0,I,6,1,4,2.1
220,T6,S&O,US2,28.9,0,T,6,1,3,1.6
227,T6,Product,US4,27.3,0,T,6,1,3,1.5
229,T7,G&A,US1,34.0,0,T,7,1,5,3.0
230,I6,G&A,US2,31.1,0,I,6,1,3,1.3
231,T7,Engineering,US2,32.9,0,T,7,1,3,4.1
233,T6,CXI,US1,33.1,0,T,6,0,3,1.6
234,T7,Product,US1,29.4,1,T,7,1,3,1.5
237,T8,G&A,US2,30.2,0,T,8,1,4,1.2
239,I7,CXI,US4,34.9,0,I,7,0,3,1.5
242,I6,Engineering,US1,29.6,0,I,6,1,3,1.1
243,I4,S&O,US1,34.2,0,I,4,1,3,1.6
245,T8,Engineering,US3,33.3,0,T,8,1,4,2.0
246,T6,Engineering,US1,29.3,1,T,6,1,4,2.0
249,T8,S&O,US4,29.9,0,T,8,1,3,1.6
251,T6,S&O,US1,27.6,0,T,6,1,4,3.0
253,I4,Product,US4,32.5,0,I,4,1,3,1.2
254,I4,Product,US2,30.5,1,I,4,1,3,3.1
257,I6,Engineering,US1,30.2,0,I,6,1,3,1.3
262,T7,S&O,US1,30.0,0,T,7,1,3,1.6
270,I5,Engineering,US1,32.0,0,I,5,0,3,1.5
272,T8,Product,US3,28.5,0,T,8,1,3,2.1
273,T6,Engineering,US1,30.3,0,T,6,1,4,2.1
275,I4,S&O,US3,28.3,1,I,4,0,5,2.0
276,I6,Engineering,US1,31.1,0,I,6,1,3,2.1
278,I5,S&O,US1,29.8,0,I,5,1,5,1.1
282,T7,Product,US1,33.1,0,T,7,0,5,1.1
284,I4,CXI,US3,30.5,0,I,4,0,3,1.6
285,I4,Sales,US2,33.6,0,I,4,1,3,1.6
286,I4,Engineering,US3,28.0,0,I,4,1,3,1.1
289,I4,CXI,US1,28.6,0,I,4,0,3,2.0
291,I4,CXI,US1,34.3,0,I,4,0,3,4.0
295,I6,G&A,US2,29.9,0,I,6,0,3,1.5
297,T6,CXI,US2,34.2,1,T,6,0,3,4.1
298,T6,CXI,US2,28.5,0,T,6,0,3,4.1
299,T6,CXI,US3,31.3,1,T,6,0,5,3.1
300,T7,Engineering,US2,30.5,0,T,7,1,3,1.6
304,T6,CXI,US3,31.3,0,T,6,0,3,1.6
306,T7,Sales,US1,30.3,0,T,7,1,3,1.6
307,I4,CXI,US1,34.8,1,I,4,0,3,1.5
309,T6,Engineering,US3,33.5,0,T,6,1,3,2.1
310,I6,S&O,US3,27.5,1,I,6,0,4,1.5
314,I6,Engineering,US3,34.6,0,I,6,1,3,1.6
315,T6,Engineering,US1,29.0,0,T,6,1,4,2.0
316,T7,Engineering,US1,30.4,0,T,7,1,3,4.0
317,I4,Engineering,US2,27.8,0,I,4,1,3,1.5
318,I7,S&O,US2,33.0,0,I,7,0,3,1.6
319,I5,CXI,US3,27.1,0,I,5,0,3,2.1
321,I4,Sales,US1,29.5,0,I,4,0,3,1.5
326,I4,G&A,US2,29.5,0,I,4,1,3,1.6
327,I4,Sales,US1,31.9,0,I,4,0,3,1.6
330,I4,Engineering,US1,33.8,0,I,4,1,3,1.6
331,T7,Engineering,US3,33.2,0,T,7,1,3,1.1
334,I6,G&A,US3,33.2,0,I,6,0,4,2.1
335,T7,Engineering,US1,27.2,0,T,7,1,4,3.1
337,I5,S&O,US2,29.9,0,I,5,0,4,1.4
338,I5,CXI,US4,31.8,0,I,5,0,4,3.0
339,I4,Sales,US1,29.6,0,I,4,0,3,1.3
343,T6,Sales,US4,30.6,0,T,6,0,4,2.1
345,T7,Engineering,US2,28.9,0,T,7,1,5,3.1
346,I5,Engineering,US1,31.0,0,I,5,1,3,1.6
352,I6,CXI,US1,33.1,0,I,6,1,3,1.5
355,T9,G&A,US1,29.3,1,T,9,0,5,2.1
357,I4,G&A,US1,28.6,0,I,4,0,3,2.1
361,T6,CXI,US3,30.1,0,T,6,0,3,1.5
366,I4,CXI,US1,32.1,0,I,4,0,3,2.1
370,T9,G&A,US2,31.6,0,T,9,0,3,1.6
372,I7,G&A,US2,34.7,0,I,7,0,3,1.6
377,T8,CXI,US3,33.4,0,T,8,1,3,4.1
378,T7,CXI,US2,31.3,0,T,7,1,4,1.5
380,T7,Product,US2,34.1,0,T,7,1,4,1.5
383,T8,G&A,US2,27.4,0,T,8,1,3,1.5
384,T6,Engineering,US2,34.4,0,T,6,0,3,2.1
385,I5,G&A,US1,31.8,0,I,5,0,4,1.1
386,I4,S&O,US2,28.1,0,I,4,1,4,2.0
387,I4,Sales,US2,27.9,0,I,4,0,3,1.2
390,I6,CXI,US1,28.8,0,I,6,1,4,2.1
391,T6,CXI,US1,28.4,0,T,6,0,3,1.6
392,I4,S&O,US3,27.7,0,I,4,1,3,1.6
403,I7,G&A,US1,28.1,0,I,7,0,4,4.0
404,I5,Engineering,US1,27.7,0,I,5,0,4,2.0
406,I5,Engineering,US4,34.7,0,I,5,1,3,1.6
407,I4,CXI,US2,29.5,0,I,4,0,3,3.1
409,I5,Product,US4,31.0,0,I,5,0,3,3.1
411,I4,S&O,US2,27.1,1,I,4,1,3,2.1
412,T8,Engineering,US4,30.5,1,T,8,1,3,1.6
413,T6,G&A,US3,29.2,0,T,6,1,3,2.0
414,I7,Engineering,US1,33.0,0,I,7,1,5,1.2
417,I7,CXI,US2,30.3,0,I,7,0,3,1.4
418,I6,Engineering,US2,32.0,0,I,6,1,3,1.5
420,T6,Product,US2,28.7,0,T,6,1,3,4.1
422,I5,CXI,US3,32.5,0,I,5,0,4,2.1
423,I4,CXI,US2,33.5,0,I,4,0,3,1.5
426,I4,Sales,US4,33.2,0,I,4,0,3,1.5
430,I7,CXI,US2,32.3,0,I,7,0,5,2.0
431,I4,G&A,US3,30.0,0,I,4,0,3,3.1
433,I7,CXI,US3,27.2,0,I,7,0,3,4.1
438,I4,Product,US1,31.6,0,I,4,0,4,2.1
439,I5,G&A,US1,31.0,1,I,5,0,3,2.0
441,I7,Engineering,US1,28.4,0,I,7,1,5,4.1
442,I4,G&A,US1,29.2,0,I,4,1,3,1.5
443,I7,CXI,US2,31.2,0,I,7,0,3,1.6
444,T6,Engineering,US2,34.2,0,T,6,1,3,4.1
447,I7,Product,US1,32.6,0,I,7,1,3,2.1
448,I7,Engineering,US2,30.0,0,I,7,1,4,2.0
449,I7,Engineering,US1,30.4,0,I,7,1,3,1.6
451,I4,CXI,US1,34.4,0,I,4,0,4,2.0
453,T6,Product,US1,29.6,0,T,6,1,5,3.0
456,T7,CXI,US3,31.9,1,T,7,1,3,1.5
457,T7,Engineering,US3,29.7,0,T,7,1,5,2.1
458,T7,CXI,US1,33.4,0,T,7,0,3,2.1
460,I5,Product,US3,27.4,1,I,5,0,3,4.1
461,I5,Engineering,US2,29.0,0,I,5,0,3,1.6
462,I5,Engineering,US1,30.1,0,I,5,1,3,1.2
464,I7,Sales,US4,30.2,0,I,7,1,3,1.5
474,I4,Engineering,US4,33.5,0,I,4,1,4,2.1
477,I4,Product,US1,29.2,0,I,4,1,3,1.5
478,I6,CXI,US1,29.0,0,I,6,0,3,1.0
485,T6,Sales,US1,31.3,0,T,6,0,3,4.0
486,I6,Sales,US1,27.7,0,I,6,1,3,2.1
487,I7,Product,US3,33.2,0,I,7,0,3,1.5
489,I6,Engineering,US1,32.1,0,I,6,1,3,1.0
493,I6,Product,US3,27.6,0,I,6,1,4,1.1
494,I4,Engineering,US4,31.1,0,I,4,0,5,3.0
498,T9,G&A,US1,27.3,0,T,9,0,3,4.1
502,T7,Engineering,US2,33.5,0,T,7,1,4,1.1
507,I6,Engineering,US1,30.4,0,I,6,1,4,2.0
510,I4,S&O,US3,34.4,0,I,4,0,3,1.6
512,T8,S&O,US2,32.2,1,T,8,1,3,1.5
513,I4,CXI,US4,29.5,0,I,4,0,3,1.6
514,I4,S&O,US1,34.1,0,I,4,0,3,2.0
515,I5,CXI,US2,28.0,0,I,5,1,3,4.0
516,I5,Sales,US1,33.3,0,I,5,1,4,2.1
519,I4,Engineering,US2,34.5,0,I,4,1,5,3.1
521,T8,Engineering,US2,32.3,0,T,8,1,3,1.6
523,T8,Product,US1,29.9,0,T,8,1,3,2.0
524,I6,G&A,US1,31.1,0,I,6,0,5,2.1
525,I4,S&O,US2,29.1,0,I,4,0,3,2.1
527,T6,G&A,US4,29.8,0,T,6,1,4,3.0
528,I5,S&O,US3,29.7,0,I,5,0,3,1.2
529,T6,Product,US3,28.0,0,T,6,1,4,1.5
532,I4,CXI,US1,32.8,0,I,4,0,3,4.1
537,I6,S&O,US1,30.9,0,I,6,0,5,2.0
538,T8,Engineering,US4,28.0,0,T,8,1,3,1.5
539,I5,Engineering,US1,29.0,0,I,5,0,4,4.0
540,T6,G&A,US1,30.8,0,T,6,1,3,1.6
542,I5,Engineering,US3,27.4,0,I,5,1,3,3.0
545,I4,Product,US1,27.3,0,I,4,1,3,3.1
548,I5,Sales,US2,30.0,0,I,5,1,5,2.1
549,I5,G&A,US3,34.1,0,I,5,0,3,3.0
550,I6,CXI,US3,33.0,0,I,6,0,4,2.0
551,T7,Engineering,US2,33.4,0,T,7,1,5,3.0
553,I6,Product,US3,35.0,0,I,6,1,5,4.1
557,I5,Engineering,US3,28.1,0,I,5,1,3,1.2
562,I5,Engineering,US2,29.9,0,I,5,1,4,2.1
563,I6,Sales,US1,31.8,0,I,6,0,3,1.6
564,I4,CXI,US3,32.7,0,I,4,0,3,1.5
565,I6,Product,US3,28.2,0,I,6,0,4,3.1
568,I4,Engineering,US4,30.1,0,I,4,1,5,2.1
569,I6,CXI,US1,27.4,0,I,6,0,3,2.0
570,I6,CXI,US2,28.0,0,I,6,0,4,2.1
571,T6,Product,US3,31.2,0,T,6,1,4,1.2
573,T6,Engineering,US1,27.5,0,T,6,1,5,1.0
576,I5,Engineering,US4,32.6,1,I,5,1,3,2.1
580,I5,CXI,US2,34.8,0,I,5,0,4,2.0
581,I5,Engineering,US3,31.2,0,I,5,1,4,1.6
582,I4,CXI,US2,30.9,0,I,4,1,4,1.0
584,I7,Sales,US3,29.8,0,I,7,1,3,2.1
585,T6,S&O,US3,33.1,0,T,6,0,4,3.0
587,I5,S&O,US1,27.8,1,I,5,1,3,2.1
588,I6,CXI,US1,32.5,0,I,6,1,3,3.0
589,I7,G&A,US3,30.1,0,I,7,0,3,1.5
590,I7,Engineering,US4,31.9,0,I,7,0,3,2.0
592,T6,Engineering,US2,30.6,0,T,6,1,3,1.5
595,I4,Engineering,US1,29.9,0,I,4,1,5,1.0
598,I5,Sales,US1,31.4,0,I,5,0,4,3.1
599,T6,CXI,US1,30.5,0,T,6,0,3,1.6
600,I4,G&A,US3,31.5,0,I,4,0,3,2.0
601,I6,Product,US2,30.0,0,I,6,0,3,2.1
604,I5,G&A,US3,34.7,0,I,5,0,3,2.1
605,I5,S&O,US1,29.7,0,I,5,1,5,1.0
608,T8,Product,US2,33.2,1,T,8,1,4,2.0
609,T6,CXI,US3,29.5,0,T,6,0,3,4.0
612,I5,Sales,US1,30.4,0,I,5,0,5,2.0
613,I4,CXI,US1,27.0,0,I,4,1,3,4.0
616,I5,G&A,US1,29.5,0,I,5,0,4,4.0
618,T8,Engineering,US3,29.1,0,T,8,1,3,1.5
621,I4,G&A,US1,32.3,0,I,4,0,5,4.0
623,T6,Product,US3,32.2,0,T,6,1,3,4.1
624,T9,Engineering,US2,30.2,0,T,9,1,4,4.0
626,I5,CXI,US2,33.6,0,I,5,0,3,3.0
630,I4,Engineering,US2,30.3,0,I,4,1,4,1.1
631,T7,Sales,US1,31.0,0,T,7,1,3,1.6
635,I4,Engineering,US4,34.9,0,I,4,1,3,3.0
639,T8,Sales,US3,31.8,0,T,8,1,3,2.1
647,I5,Product,US2,31.1,0,I,5,1,5,1.4
650,T8,Engineering,US3,27.6,0,T,8,1,3,1.2
653,I4,Engineering,US1,34.8,0,I,4,1,4,3.0
654,T6,Product,US1,31.7,0,T,6,0,3,2.1
658,T8,G&A,US3,27.3,0,T,8,0,3,1.6
659,I4,CXI,US1,33.9,0,I,4,1,3,1.6
660,I5,CXI,US1,29.8,1,I,5,0,3,2.0
661,I4,Product,US2,30.6,0,I,4,1,5,2.1
664,I5,Sales,US1,31.6,0,I,5,1,4,2.1
665,T6,G&A,US1,34.1,0,T,6,0,4,1.0
669,T8,Engineering,US3,30.6,1,T,8,0,4,2.1
672,I4,CXI,US1,31.5,0,I,4,0,3,4.0
676,I5,Product,US4,27.6,0,I,5,1,3,2.0
677,I4,Engineering,US3,32.7,0,I,4,1,4,2.1
678,I4,Engineering,US2,31.4,0,I,4,1,5,4.0
679,I4,S&O,US1,28.0,0,I,4,0,5,4.1
684,I7,Engineering,US1,28.9,0,I,7,1,3,1.6
687,I4,Engineering,US1,30.0,0,I,4,1,3,2.0
688,T8,G&A,US1,34.7,0,T,8,1,5,2.0
689,I4,S&O,US1,32.6,0,I,4,0,3,1.5
690,T7,Engineering,US1,33.5,0,T,7,1,3,2.0
691,I4,Sales,US1,28.5,1,I,4,0,5,1.5
692,T7,Sales,US1,32.1,0,T,7,1,3,2.1
694,I6,Engineering,US1,31.3,0,I,6,1,4,2.0
695,I4,CXI,US2,28.2,0,I,4,0,4,1.2
697,T6,Engineering,US1,31.0,0,T,6,1,4,2.1
698,T6,Engineering,US1,27.9,0,T,6,0,4,1.5
699,I5,G&A,US2,28.0,0,I,5,0,3,1.6
701,T7,Sales,US2,30.7,0,T,7,1,4,3.1
704,I4,Engineering,US2,32.9,0,I,4,1,3,1.5
706,I4,Product,US1,31.1,0,I,4,1,5,3.0
707,T7,Sales,US1,31.5,0,T,7,1,3,1.6
708,I6,Engineering,US3,34.9,0,I,6,1,5,1.4
709,I4,Sales,US1,34.9,0,I,4,1,3,1.0
710,I5,Engineering,US2,33.4,0,I,5,1,3,3.0
711,I7,Engineering,US4,30.4,0,I,7,1,3,1.5
713,T6,Product,US3,27.9,0,T,6,0,3,1.6
715,T7,Product,US4,30.9,0,T,7,0,4,1.1
716,T9,Sales,US1,28.2,0,T,9,1,3,1.6
717,I7,CXI,US1,28.1,0,I,7,0,4,2.1
722,I5,Engineering,US1,28.0,0,I,5,1,4,1.3
723,I6,S&O,US1,30.5,0,I,6,0,5,2.1
724,I7,Engineering,US1,32.9,0,I,7,0,3,4.1
727,I7,S&O,US1,34.0,0,I,7,1,3,2.0
729,I4,G&A,US2,30.3,0,I,4,0,4,2.1
730,I6,G&A,US1,28.0,0,I,6,0,3,1.5
732,I4,Engineering,US1,33.5,0,I,4,1,4,1.6
736,T7,Product,US1,29.0,0,T,7,1,3,1.6
737,I5,Product,US2,27.9,0,I,5,0,3,1.6
739,T7,S&O,US2,33.0,0,T,7,1,3,2.1
742,T7,Engineering,US1,31.9,0,T,7,1,5,2.0
743,T7,Engineering,US4,30.5,0,T,7,1,4,1.3
744,T6,Engineering,US1,28.1,1,T,6,1,5,2.1
747,I4,S&O,US3,32.9,0,I,4,1,3,2.0
749,I7,S&O,US3,27.5,0,I,7,1,3,1.5
752,I4,Product,US3,30.3,0,I,4,0,3,4.0
753,I6,Product,US3,27.1,0,I,6,1,3,2.0
757,I7,Product,US2,33.1,0,I,7,0,3,1.5
758,T7,S&O,US2,34.2,0,T,7,1,3,2.1
761,T6,S&O,US1,34.7,1,T,6,0,4,2.0
763,T8,S&O,US1,32.0,0,T,8,1,5,2.1
766,T7,CXI,US2,33.2,0,T,7,0,3,1.5
770,I6,Engineering,US4,32.9,0,I,6,1,4,2.0
771,I5,S&O,US4,29.4,0,I,5,0,3,2.1
772,I5,Sales,US4,30.2,0,I,5,1,4,2.0
779,I4,S&O,US3,28.7,0,I,4,0,3,1.0
782,T6,CXI,US1,33.7,0,T,6,0,4,3.1
785,I5,Sales,US2,32.4,0,I,5,0,4,1.2
786,I5,Engineering,US3,33.7,0,I,5,1,3,1.6
787,T6,Engineering,US1,28.1,0,T,6,1,4,1.2
789,I5,CXI,US1,30.5,0,I,5,0,3,1.6
791,I6,S&O,US2,27.5,0,I,6,0,3,1.6
793,T6,Engineering,US2,28.0,1,T,6,1,4,2.1
795,T6,Sales,US1,33.8,0,T,6,1,4,2.1
796,I6,S&O,US1,32.3,0,I,6,0,3,1.6
799,T8,Engineering,US1,30.9,0,T,8,1,4,4.1
800,T9,Engineering,US4,31.2,0,T,9,1,4,1.5
801,I5,Product,US2,29.4,0,I,5,0,5,2.1
802,I7,Engineering,US1,27.0,0,I,7,1,3,3.1
806,T7,S&O,US1,33.5,0,T,7,0,4,1.3
807,I4,S&O,US1,32.7,0,I,4,1,3,1.6
812,T7,Sales,US2,31.6,0,T,7,1,5,1.1
813,I5,Sales,US1,30.3,1,I,5,0,3,2.1
814,T9,Engineering,US2,32.1,0,T,9,1,4,2.0
815,T6,Product,US2,31.3,0,T,6,1,3,1.6
816,T6,S&O,US1,33.1,0,T,6,1,4,2.0
818,I4,S&O,US3,28.2,0,I,4,1,3,2.1
819,I4,S&O,US1,27.9,0,I,4,0,4,1.1
822,T7,S&O,US4,33.3,0,T,7,1,3,4.0
823,T6,Sales,US1,27.6,0,T,6,1,3,4.1
825,T7,CXI,US2,28.1,0,T,7,0,5,3.0
827,T6,Engineering,US3,31.3,0,T,6,0,4,2.1
828,I4,CXI,US2,27.3,0,I,4,1,4,1.1
829,T8,S&O,US3,31.1,0,T,8,0,3,1.6
832,T8,S&O,US1,27.5,0,T,8,0,3,2.1
834,T8,Engineering,US1,27.1,0,T,8,1,3,1.5
837,I4,Sales,US3,33.3,0,I,4,1,4,2.0
840,I4,CXI,US3,35.0,0,I,4,0,5,1.4
841,T6,Sales,US1,27.7,0,T,6,1,3,4.0
842,T7,Sales,US2,34.7,0,T,7,1,3,1.0
843,T8,S&O,US4,31.5,0,T,8,0,3,1.6
848,I5,Sales,US3,34.9,0,I,5,1,4,4.0
849,T8,CXI,US1,27.7,0,T,8,0,3,1.0
854,I5,Product,US1,30.2,0,I,5,1,5,2.1
856,T8,G&A,US1,27.6,1,T,8,0,3,2.0
857,I4,CXI,US1,34.6,0,I,4,0,3,1.5
859,I6,CXI,US1,30.6,0,I,6,0,5,1.1
860,T8,CXI,US1,28.9,0,T,8,0,5,1.2
862,I4,Product,US3,30.8,0,I,4,0,3,2.1
865,T8,S&O,US2,30.1,0,T,8,0,3,1.5
866,I4,Product,US1,31.0,0,I,4,0,5,2.0
867,I5,Engineering,US1,33.4,0,I,5,1,5,2.0
870,I5,Engineering,US2,29.5,0,I,5,1,4,3.1
875,T8,Product,US1,28.3,0,T,8,1,3,3.1
878,I7,Engineering,US1,28.0,0,I,7,1,3,1.6
879,T8,Sales,US4,34.4,0,T,8,1,3,4.1
881,I5,S&O,US3,27.3,0,I,5,1,3,2.1
885,T6,Engineering,US2,31.9,0,T,6,1,5,1.2
889,T7,S&O,US3,32.4,0,T,7,0,3,1.0
893,T8,Engineering,US2,33.3,0,T,8,1,4,2.0
894,T7,S&O,US3,29.2,0,T,7,0,3,2.1
895,I6,Engineering,US1,31.4,0,I,6,1,3,2.1
896,I7,S&O,US3,34.9,0,I,7,1,3,2.0
899,I5,Engineering,US1,34.2,0,I,5,1,4,3.1
902,T8,Sales,US2,32.1,0,T,8,1,5,3.1
904,I5,Sales,US1,34.0,0,I,5,1,5,2.1
905,T8,G&A,US4,34.7,0,T,8,1,5,2.0
907,T6,Product,US4,31.4,0,T,6,1,3,1.0
909,I7,CXI,US3,34.6,0,I,7,0,5,1.1
911,I4,CXI,US1,33.5,1,I,4,0,3,1.6
912,T6,Engineering,US3,31.8,0,T,6,1,4,2.1
913,T8,G&A,US3,28.5,0,T,8,0,3,1.5
915,I4,G&A,US1,31.7,0,I,4,0,4,2.0
916,T7,Engineering,US3,34.1,0,T,7,1,4,3.1
918,I7,S&O,US3,29.9,0,I,7,1,5,1.3
919,I6,Product,US1,32.4,0,I,6,0,3,2.0
920,I5,Engineering,US1,28.1,0,I,5,1,5,2.1
925,I5,CXI,US2,28.4,0,I,5,0,3,1.6
928,T8,CXI,US1,32.9,0,T,8,0,4,2.1
929,T6,Sales,US1,30.9,0,T,6,1,3,2.1
931,T8,Product,US1,32.8,0,T,8,1,3,2.0
933,I4,Product,US1,31.6,0,I,4,0,4,3.1
934,T7,S&O,US1,30.1,0,T,7,0,5,2.1
938,I5,Engineering,US3,34.3,0,I,5,1,4,1.6
940,T8,CXI,US2,28.5,0,T,8,0,3,1.6
943,I4,G&A,US3,30.2,1,I,4,1,4,3.1
944,I4,Engineering,US1,34.8,0,I,4,1,4,2.0
948,T6,Product,US1,29.1,0,T,6,1,3,3.0
953,I7,Product,US3,27.7,0,I,7,1,5,2.0
955,I4,Engineering,US2,34.5,0,I,4,1,5,1.0
957,I6,S&O,US3,31.7,0,I,6,1,3,1.5
962,T8,S&O,US1,33.9,0,T,8,0,5,2.1
963,T6,CXI,US2,33.3,0,T,6,1,4,1.0
965,T8,Engineering,US1,28.7,0,T,8,1,4,2.1
966,I4,CXI,US2,29.0,0,I,4,0,3,1.5
968,I4,CXI,US3,31.7,0,I,4,0,4,2.1
969,I4,G&A,US1,33.3,0,I,4,1,4,2.0
970,T7,Engineering,US2,32.0,0,T,7,1,5,3.1
971,T8,G&A,US1,33.6,0,T,8,0,3,1.6
972,T6,Engineering,US2,27.3,1,T,6,0,4,3.0
977,I6,Engineering,US3,30.8,0,I,6,1,4,2.0
979,I4,S&O,US1,29.8,0,I,4,0,3,1.5
982,I5,G&A,US1,33.6,0,I,5,0,4,3.0
983,I4,Engineering,US3,33.9,0,I,4,1,3,4.0
985,I6,S&O,US4,31.6,1,I,6,0,5,2.1
987,I6,S&O,US2,34.6,0,I,6,1,4,3.0
989,T8,Engineering,US1,28.6,1,T,8,1,3,4.1
990,I4,G&A,US1,30.7,0,I,4,0,3,1.2
991,T6,CXI,US4,33.4,0,T,6,0,4,1.1
992,I4,Sales,US3,32.1,0,I,4,0,3,1.6
993,T6,Engineering,US3,28.3,0,T,6,1,4,2.0
994,I5,Sales,US1,30.0,0,I,5,0,3,1.5
996,I7,Product,US1,27.6,0,I,7,1,3,1.3
999,T8,Sales,US2,30.6,0,T,8,0,3,1.5
1003,I5,Engineering,US1,29.0,0,I,5,1,3,1.5
1004,I5,CXI,US4,31.4,0,I,5,0,3,2.1
1005,I4,CXI,US1,28.2,0,I,4,0,3,1.2
